x,y
0.339577,0.420939
0.566369,0.573152
0.797539,0.750233
1.02374,0.904591
1.25435,1.09105
1.49133,1.24814
1.70971,1.3883
1.92384,1.50798
2.16685,1.66713
2.37073,1.77854
2.61468,1.90536
2.82142,2.00987
3.04238,2.11933
3.27586,2.22098
3.49143,2.31685
3.71614,2.39899
3.93853,2.47964
4.19441,2.54841
4.38604,2.61018
4.62347,2.66358
4.82779,2.7145
5.0207,2.76551
5.25853,2.78905
5.47157,2.81564
5.65975,2.85403
5.87914,2.86541
6.09452,2.87243
6.3011,2.8714
6.50803,2.87711
6.69608,2.89381
6.90929,2.87305
7.10811,2.84712
7.34511,2.79242
7.5364,2.7809
7.7453,2.72278
7.93519,2.68782
8.14166,2.62896
8.34078,2.5542
8.5205,2.53337
8.74294,2.40031
8.9173,2.3593
9.12936,2.25037
9.31562,2.1724
9.5002,2.0858
9.69492,1.96771
9.89091,1.86826
10.0783,1.72979
10.2732,1.58419
10.4563,1.48424
10.6396,1.46619
11.3735,0.751511
11.562,0.639128
