x,y
797.115760398,838.744413282
715.843525958,43.8670097355
803.162355761,162.152985256
345.730789412,420.839139484
290.03023435,85.9195611209
999.940107505,94.7542175889
843.103910995,875.312490434
231.985062671,902.446658647
528.880510436,428.478406644
813.493637502,290.648877729
215.996681038,508.579781797
884.849397699,938.94209133
121.324350991,215.618690116
792.35033862,176.555309113
32.3053948359,150.080071538
572.292454155,287.240423301
329.42103966,867.187528137
565.339650577,908.277022195
986.133536939,555.360030529
715.795278114,576.882180909
928.428740443,255.387203183
899.114865375,663.370565667
587.228870491,257.869823334
634.221117513,903.057912239
399.218327846,884.136106405
826.557527966,645.319616067
554.450213777,856.36575789
760.530675579,741.03846518
811.441312425,888.538281398
869.85130915,904.658967108
860.474640635,238.240490426
789.91033878,817.475781504
624.216469058,983.411413877
108.130056059,728.961273206
152.999156927,924.046503479
613.946679135,327.871962244
889.26826628,71.4843976214
978.417968792,197.988006466
988.348149978,482.884533044
576.705034524,368.278467353
144.955340575,778.061144873
774.71930241,817.105284582
899.389303034,830.549336851
361.977985716,412.535380656
716.564387842,227.028505238
432.120104739,689.504015949
131.93786884,309.363292478
566.816014979,241.442458407
732.277159041,584.069832722
719.144866009,508.263286067
486.697652272,811.743276804
145.553321259,84.3251837737
683.500800863,642.625751338
822.026468415,459.969394223
530.327282685,225.282221346
648.733586297,936.955083917
334.419984372,852.252313112
344.705249751,395.930896542
203.213629133,655.161389471
253.949895383,859.491503164
354.041364221,45.245424435
781.487092444,262.319903627
710.624596473,272.04699377
625.949498402,707.035266031
917.092421001,684.859682864
733.909365177,430.038208476
663.501703175,1.59119314224
294.48532677,979.927168399
786.735873267,292.948324825
38.9452594689,609.027481643
728.990039912,224.913198439
462.014205947,664.484233258
184.427958076,2.94536002135
764.453827867,282.346760461
577.540516891,521.185874096
439.390175058,293.574466321
868.35828063,800.742019562
419.283739422,263.666158666
652.691025049,454.113771017
61.9345066172,254.754363688
259.809218575,619.755595199
156.854252395,639.052734053
139.042155085,849.681348182
170.486264813,476.258117939
203.708055431,124.148364503
343.165178431,888.159910886
28.2516891482,538.108717359
805.592157713,136.358119864
661.797054923,144.645429454
761.326474592,894.753835608
695.152155312,969.260827065
514.886918092,819.531212583
80.5666063583,807.652944754
240.090141427,532.702175494
19.475935082,839.883636069
624.260583534,728.763522357
15.0347037842,805.00585621
299.099028498,408.211521278
148.910534615,385.304419232
429.451618682,636.416868757
903.526264795,15.4991565684
942.509377829,886.289190137
477.394439128,691.20226288
921.146093956,318.275308224
422.404655178,406.702004083
777.181642128,977.182665108
372.540167651,62.7457911685
234.105407846,342.8936456
675.093864024,653.219236036
59.0722475728,207.748142842
791.81078066,81.9460710525
555.54246997,837.157015893
698.026524444,8.3056354219
792.546488749,64.1648068762
125.338931158,926.764546393
864.521206309,882.612674958
893.992364327,971.060894102
457.781074992,161.309391917
19.191102662,723.241919489
350.094002832,406.062106414
660.381961079,31.9171274412
390.951715941,508.59410975
629.69537758,688.995062401
347.521784324,319.507230371
183.081174034,604.826544328
869.98239022,402.532344895
444.06798193,252.452846277
586.953549344,861.623984717
541.228970315,909.751306058
139.737873868,874.312889489
810.257612972,215.917366145
688.321078428,597.916864167
784.83633915,335.378246226
972.141705729,279.612769463
270.295646145,168.116894701
405.519694437,574.359165142
277.959077593,651.33375461
224.568626704,691.58330124
301.637775854,963.429505827
972.808630631,314.076636255
693.946650608,965.894145943
705.00080909,358.601481565
911.16700874,435.499421106
623.509243738,142.044753686
805.268400496,598.954708932
793.644590736,585.565627219
82.8468196322,59.9888702305
379.319917108,798.378435167
823.281707793,455.056076517
236.36874099,372.318335376
374.917798456,589.885169157
259.372503192,347.058243252
272.180986191,387.073937897
477.276731726,698.370825977
670.930657378,399.630120151
891.726048722,398.075255785
528.842760822,53.8902762823
895.908960961,184.779695988
745.137543213,821.214419063
247.07995719,627.482838814
414.465297513,362.148546323
679.898424929,386.767919781
683.660261714,145.89280194
555.221438764,115.38899678
167.291995104,307.28706654
408.88929907,830.401157125
947.136004476,394.593284787
927.23516203,747.016248087
587.704563216,972.322537332
890.540883948,348.58557952
885.293566272,515.691584778
261.188839891,216.706319834
636.027729323,560.899975021
146.763523504,977.984714565
807.904907974,650.028223192
554.706314659,415.793031252
788.554978922,191.817026279
661.796109268,252.198964432
629.264183947,947.174944174
78.0979027698,322.955983226
361.42891331,203.693931882
986.765733427,311.11147576
904.007057786,301.483101475
175.615805936,775.028996346
30.4418283474,664.731250671
486.320851335,9.03705947342
532.85336207,746.182004179
730.893794159,197.726983721
296.160222769,651.942943627
867.2177899,86.4017992763
710.944414514,127.272698543
300.15663982,55.9235960557
913.321400752,117.955660655
229.340936754,662.496753312
948.921315369,19.3122015723
975.958454946,791.855413729
19.6556595968,878.545380189
603.656770927,875.513753305
147.352713752,774.215647983
203.631923768,384.703349259
11.3545813967,704.375191464
104.236750638,556.591950597
219.191657808,985.538349347
994.128889023,542.665280565
301.193359016,888.223727963
176.002579057,798.704269254
216.535019106,246.035261854
959.276820429,536.274945829
82.5174115994,267.840899471
303.024808779,731.344741271
881.49445192,204.782997528
498.885588004,954.346739265
892.858188449,204.290595918
920.830854866,33.3298587582
551.112158001,704.820515455
490.070225242,52.7428394391
87.8317078318,318.162608856
384.815293872,884.24583392
287.252784553,824.351346178
924.265446909,992.354760111
167.191745097,887.265457455
174.086342291,643.601663784
35.7458353981,170.520178778
753.736476829,790.451011183
668.797833752,657.169468825
909.844592565,984.435089254
786.161115584,419.988919189
58.5823100765,478.563124858
338.337734426,141.00452523
591.554840749,928.706749551
126.229817639,953.326595624
47.8545923744,146.317813841
119.87302314,414.07162124
798.678885497,243.423943864
302.163464904,838.365869723
728.74331487,169.47001894
101.265707142,212.882162896
728.726488858,214.203442213
970.387629013,471.261121944
548.886991929,100.213754049
506.074729042,923.791134886
445.105381837,547.095584305
621.540275872,900.673260642
495.702090126,158.830037227
152.142723227,11.5012034494
154.729014476,975.972983741
940.811849763,753.716775382
129.249426049,828.444471977
481.485582421,243.872601911
382.913130557,160.497465229
989.652621139,259.588891893
392.126777583,461.000089144
735.470301499,827.606451114
404.479783396,805.453369539
524.189986225,104.719186255
791.555374669,961.273159224
794.58733519,359.04440786
200.225234218,672.026829825
524.580650448,734.899396976
532.863068214,708.937681305
472.487742629,414.865735381
829.547700298,959.316725808
994.506811469,941.858178543
273.491093881,678.761451007
937.710582888,778.599250912
587.252875819,181.910356323
932.765910241,632.369390471
312.310511838,504.636804983
79.0223471049,937.491219015
322.315215813,886.375855739
202.484165954,171.301941169
212.286974511,446.496238031
764.005123996,964.26669475
264.282813655,1.62844392756
325.171279776,558.100956036
481.640202583,827.589098656
941.82162847,870.001852916
338.811719093,603.703585249
805.509480487,132.908966299
431.107395763,920.256783327
67.2994713031,972.264740771
250.122669838,83.4812246244
730.242976397,540.317128194
84.4841191202,799.768765434
737.104235557,107.587321406
106.853330963,763.804581293
721.779316467,231.948130282
778.463396842,891.579826648
977.900671256,73.4216944938
933.899453052,835.111646337
410.845194529,626.808381951
498.506335733,345.148840095
369.047802369,29.5989142983
73.8395834292,12.5306362046
226.130021868,643.264154438
356.334022377,271.002729806
241.155447502,801.540533923
134.287864342,556.50467565
837.314923783,270.540948076
200.139563263,828.244139636
832.201740862,80.5431088415
588.807451814,723.011586814
538.131923939,606.547178324
