x,y
0.369659,0.351732
0.593602,0.521892
0.809022,0.657339
1.01781,0.747174
1.22954,0.875836
1.4422,0.970781
1.66123,1.08174
1.87091,1.17399
2.07975,1.2565
2.27467,1.31318
2.50338,1.40412
2.93422,1.54401
3.11109,1.58043
3.34198,1.63825
3.54728,1.68349
3.75781,1.71045
3.96356,1.73375
4.1845,1.75442
4.38188,1.77609
4.5699,1.77922
4.77512,1.77658
4.99001,1.75985
5.16802,1.76591
5.35232,1.73902
5.54578,1.73034
5.74771,1.70536
5.94247,1.66377
6.15988,1.60491
6.32877,1.5876
6.54264,1.49865
6.72109,1.45642
6.89609,1.41415
7.10949,1.30021
7.2919,1.23345
7.48106,1.14058
7.67074,1.03416
7.85737,0.947462
8.04052,0.866309
