x,y
959.364857843,619.901970991
348.932547785,856.350302689
661.648719702,858.805450887
408.460222231,83.8569584908
650.330174194,107.741615426
251.956430053,524.323852785
522.566155225,600.667216986
518.69591151,599.020117258
929.896097,37.511166105
577.978908846,232.420321937
726.668800287,138.360299209
333.640850207,385.129065954
568.586783779,144.641324281
659.193235097,307.704537704
164.893196062,727.035259044
643.636705535,285.01975735
805.137199665,749.404475673
609.648738243,491.847479156
545.559321941,341.9981356
891.396745593,262.427639476
713.081426831,97.3394666457
402.676427961,67.4866488974
273.945597819,658.964728907
764.545583076,852.787917022
549.909935166,52.241723621
173.641665856,482.218893004
355.628403965,454.268702149
395.513019245,581.049294374
73.8871228719,384.960038537
966.185534303,169.589927019
731.141601455,879.788165196
887.82837058,459.403918338
922.999566681,865.987583371
853.144399294,17.1315810364
54.5792430929,448.949691528
886.140484848,458.517546226
738.94900575,389.76503787
676.463342054,938.741257146
591.124549473,90.0765862409
565.731698087,138.420804366
604.56233833,279.7674236
888.78458152,372.59904341
468.652789451,821.554215254
278.696597767,73.2408963096
875.426710267,273.014438248
356.755588484,570.384815429
651.945505321,655.669245739
151.37954736,426.893995445
574.575750661,53.0932760431
517.591945455,676.68676907
640.128762168,493.338804366
409.34580282,711.999606465
953.693405739,216.334243839
100.101551545,585.524018017
473.420938673,336.243484608
5.24693404187,758.205839392
440.975077358,36.6145466514
519.309286234,826.92991872
95.2371394395,249.212565347
73.9654231296,153.626700425
272.900182616,963.303413208
845.758918724,344.788678462
520.189624327,599.322647875
469.644551727,460.699638494
520.248890965,820.535251111
930.489598128,163.133991055
598.678756516,361.70057176
576.755195143,367.924206883
624.632972514,577.694901111
117.540015535,376.879502129
901.726208063,326.621256285
155.20332805,96.6150117178
588.915638985,749.557250935
25.6441672108,175.045811813
132.670189295,995.175643461
877.370661386,820.603601037
340.31952289,154.818532128
529.696308708,12.3063011407
291.852125912,951.193361939
189.325709565,639.995592832
353.739964939,139.918767794
930.597638282,670.11396757
45.3198317564,111.840361946
446.897308469,543.905904503
515.937049785,672.923878032
331.779323172,571.913549634
746.865904623,381.715258126
30.9480478064,744.613729632
662.264946639,548.146665399
286.031669409,425.142833732
976.16191603,404.853976922
87.4684842422,892.079169512
174.940005405,750.623108089
219.996919313,607.090617054
942.865155523,68.4677637639
324.998721324,508.31136294
695.859891341,125.66277116
914.784025157,777.444843118
934.003147046,201.446201063
525.168337332,964.447227189
769.28131344,360.041485382
525.808743022,616.470232404
222.290311134,904.831555449
599.019850369,757.493237651
588.41860408,156.881068542
939.798565772,551.574793907
220.315616361,610.204104335
349.732287013,811.087678221
674.525118629,799.029311907
78.8268142189,968.60521303
954.870548017,684.637577983
280.50103032,132.565090446
246.207998172,361.527127953
902.971872846,434.597372041
782.531084348,688.517814901
9.29653708258,799.219367518
25.7224989002,6.29267868929
441.622252372,459.879805731
731.382155247,583.838169076
96.49761242,441.531094265
480.865644754,257.788876764
315.029432599,410.628319496
287.76013704,224.933509996
104.17202594,185.179351061
367.401230104,412.492099298
175.100230896,679.294671474
330.099418635,192.27650973
390.492681396,538.347829035
975.468337786,131.439139062
537.397123203,363.402572863
361.680969844,815.816429574
829.429312651,613.103570842
595.177141658,714.249283935
486.236110723,687.078647038
765.02167,846.157547534
941.013385902,582.54819594
760.410281095,763.93086261
275.423213993,557.298990125
52.2341177087,50.8342957319
787.385237287,457.094619404
300.828777935,190.924016144
693.275682548,108.011453664
290.277243099,915.222946596
980.980961448,978.915443925
99.6172368606,160.798517782
138.868319138,611.651446461
858.699595084,577.749789003
