x,y
0.262988,0.360127
0.499414,0.534292
0.739618,0.731378
0.958419,0.89264
1.19978,1.05307
1.44018,1.22892
1.67404,1.39391
1.89457,1.52717
2.13355,1.69434
2.5925,1.966
2.81313,2.07881
3.05661,2.2044
3.2939,2.318
3.51775,2.41846
3.72018,2.49819
3.98469,2.59425
4.16286,2.6749
4.42285,2.74618
4.60246,2.81857
4.84327,2.87565
5.061,2.93219
5.29008,2.97465
5.52891,2.99991
5.7175,3.05334
5.93464,3.07152
6.19536,3.07371
6.392,3.0984
6.5815,3.12439
6.83024,3.09576
7.01092,3.10687
7.23551,3.09695
7.43563,3.07489
7.66308,3.03751
7.87811,3.00189
8.09722,2.95656
8.27999,2.95386
8.50163,2.86049
8.71127,2.8017
8.91216,2.75496
9.09775,2.69108
9.29792,2.5986
9.49785,2.49671
9.68271,2.46504
9.88761,2.37719
10.0909,2.25042
10.3216,2.09338
10.509,2.03264
10.7081,1.8765
10.8822,1.79865
11.0912,1.59605
11.2805,1.57276
13.0559,0.0939033
